logical_path,size_bytes,sha256,storage,code_status
data/example_neuron/2019_20240312_02_neuron_1452_loc_3_3.pkl,1303169,72e5b1db020059d5209963fa57a7e5dc48a7575ead6fcff04b6818c73a9812bf,regular-git-blob,active-input
data/example_neuron/2019_20240312_02_neuron_47_loc_3_5.pkl,1286368,f689915f3a438d4a09c7e77467f83550f5ac23cbf3bc228ec657bf28e3bb3d88,regular-git-blob,active-input
data/example_neuron/2019_20240312_02_neuron_5_loc_1_2.pkl,1289359,ac5e0579ad779048a2db2e4cf779119a08b7ed2544feac51b0d2f5e344923d05,regular-git-blob,active-input
data/example_neuron/2019_20240317_02_neuron_201_loc_3_3.pkl,2680752,d1dee80d1ee6e3b1d37350795c036c4ce5ee00d01c7f5d71edf926f75729b5d4,regular-git-blob,active-input
data/example_neuron/groot_20240628_neuron_27_loc_5_5.pkl,4850775,f97094976dffa131d2689516fd9331bf40a20f965d3b22db834ec61b93d75f32,regular-git-blob,active-input
data/example_neuron/groot_20240628_neuron_4_loc_3_3.pkl,4912375,ab92259d661925b1e92f0e2a639e800447c9bfeaa52b5384c68cfeed039f0809,regular-git-blob,active-input
data/example_neuron/groot_20240628_neuron_51_loc_5_3.pkl,4878775,86c97b2279d9f5987086fc769c855c0252edb0f90940d1b6cf6515607631ee25,regular-git-blob,active-input
data/example_neuron/groot_20240628_neuron_64_loc_2_6.pkl,4973975,0a476ac7f92952854b72b5c2b184728cd9487576d0d7364289a79d7d4900f758,regular-git-blob,active-input
data/example_neuron/groot_20240628_neuron_64_loc_3_5.pkl,4884375,0dbcd13ec938aa3577f87b91ac11d91cffe1d78938d286399804990e257c562a,regular-git-blob,active-input
data/inflow_coef_0239.pkl,38128,f4c8fb69bb737566e7e8ef39fbab8fa8fcc377a15eb82e14d442f581d8cafb46,regular-git-blob,active-input
data/inflow_coef_2019.pkl,38128,824ea91a6698b39aa6fa69bba33b96c4f3adb0660e5fb288f1d731d2d0a2b70b,regular-git-blob,active-input
data/inflow_coef_groot.pkl,38128,cf9b0bde2d8bc31d03001927043d5ccc7d7bc59cd54ebb9482447d1c41026c00,regular-git-blob,active-input
data/inflow_slope_0239.pkl,38128,410cbcd7df2c506f757abb9cecdddfafaa691c3378058af10445ade7e5658c07,regular-git-blob,active-input
data/inflow_slope_2019.pkl,38128,d448b4235c48827647ce0810530045908775c3316e650f8f6e27be72c7d6a1e0,regular-git-blob,active-input
data/inflow_slope_groot.pkl,38128,ba48fe39f20b9ec0cfa9b530b65ca9614e3dfde7849bbd81ed629bc43ba8672d,regular-git-blob,active-input
data/latency_0239.pkl,32204,e331c9385f7aa296658dad044fb6ea3d696d7037e9a115636fa36dfbf3e47b39,regular-git-blob,active-input
data/latency_2019.pkl,26988,fbdf49b00d97656051160aacbdc270471adc0fb4e10a62bdc9787701e18112f4,regular-git-blob,inactive-retained
data/latency_groot.pkl,23788,2b6b06b6cbc3daa3cd4b73b7b68efddc9d2efae53f02fdbae46bf2fd6150abc8,regular-git-blob,inactive-retained
data/neuProp_0239.pkl,179040,9028da13f78921c2cd13be8e1412ff3e9162a255b9d4ca2d56219754a1d98548,regular-git-blob,active-input
data/neuProp_2019.pkl,495172,a2d68c296533b91ea88a1264ac42e675b36d6b3e6fc59a11d1a568311c75dba7,regular-git-blob,active-input
data/neuProp_groot.pkl,332385,7b37a06a5824e5ef9243482d0839405cd32e25f35cb34635a3e68a82204b91c3,regular-git-blob,active-input
data/reconsDA_example_session_plot_0239.pkl,1087619,be0dc9a2d408910113dc8a67701f03a156ef84cfd372bf31f65014aa38a63da1,regular-git-blob,active-input
data/reconsDA_example_session_threshold_0239.pkl,5129354,3adeee4cb0c3b00288599bca07273113f1138e4b6a47f3e3a75b81af95fb51bd,regular-git-blob,active-input
data/reconsDA_example_session_threshold_activity_0239.pkl,59449,5984f97b41721562970cb5032dd311aafd33bd3b31d5560f1c7978eeb15a764f,regular-git-blob,active-input
data/reconsDA_example_session_threshold_error_0239.pkl,3686498,f2837704897fe37fb1137162a303ccb100b1616e05d507c4ed4ac626fed7ed20,regular-git-blob,active-input
data/reconsDA_example_session_volition_0239.pkl,41648,aa7e96824b2fd5e16aa053846820d212414d2c192c04226693bca171785a01b9,regular-git-blob,active-input
data/reconw_thres_groot.npy,5392,a6f0ed6fdde29133c940f560d20dfa04ac8629364dece6f018dcdaa6161a8c2c,regular-git-blob,active-input
data/rivalry_0239.pkl,547,7d13096deebc95d2d9109db3f968173274ced3d27e8d99fa33304e7fd7113864,regular-git-blob,active-input
data/rivalry_2019.pkl,547,5bd01513695334a62b3843a46e8a76fa990bca0eea02623a57e19c4d7559650a,regular-git-blob,active-input
data/rivalry_groot.pkl,547,30c3e0c8676d97867542259e80f711b2913834661201e0268e5ddaf329e4c805,regular-git-blob,active-input
data/slope_volition_0239.pkl,128442,6108a2ff1186f9972faa8b1a78163ab4ef34c63d760cffc12f4bf7cb6c3fd5ea,regular-git-blob,inactive-retained
data/slope_volition_2019.pkl,128506,b587373b34b7e1b89c8f6d4878aa699ee89e8c73afdf7626b6ac87514559d784,regular-git-blob,inactive-retained
data/slope_volition_groot.pkl,127226,18d90908414afeb4ab07dedbe13cc242bb7198de1542168f8cbd522e9e618abb,regular-git-blob,active-input
data/ssDat_full_0239.pkl,263460124,d7db56480142b4554df234573bc15de60786bba1de0065ff38136822609bbb9b,split-gzip; restore with ./run prepare-data,active-input
